ID,Descriçãodosalimentos,Energia,Prot.(A),Prot.(V),Gordura,Carbo,Fibra,Sódio
583,"Pescada,branca,crua",110.88,16.26,0.00,4.59,0.00,0.00,76.167
584,"Pescada,branca,frita",223.04,27.36,0.00,11.78,0.00,0.00,107.233
585,"Pescada,filé,comfarinhadetrigo,frito",283.43,21.44,0.00,19.12,5.03,0.00,90.507
586,"Pescada,filé,cru",107.21,16.65,0.00,4.00,0.00,0.00,77.497
587,"Pescada,filé,frito",154.27,28.59,0.00,3.57,0.00,0.00,114.905
588,"Pescada,filé,molhoescabeche",141.96,11.75,0.00,8.02,5.02,0.78,51.288
589,"Pescadinha,crua",76.41,15.48,0.00,1.14,0.00,0.00,120.339
590,"Pêssego,Aurora,cru",36.33,0.00,0.83,0.00,9.32,1.42,0.000
591,"Pêssego,enlatado,emcalda",63.14,0.00,0.71,0.00,16.88,1.02,3.201
592,PimentãoVerde,0.00,0.00,0.86,0.17,4.64,1.70,0.000
593,"Pimentão,amarelo,cru",27.93,0.00,1.22,0.44,5.96,1.92,0.000
594,"Pimentão,verde,cru",21.29,0.00,1.05,0.15,4.89,2.56,0.000
595,"Pimentão,vermelho,cru",23.28,0.00,1.04,0.15,5.47,1.59,0.000
596,"Pinha,crua",88.47,0.00,1.49,0.32,22.45,3.36,1.337
597,"Pinhão,cozido",174.37,0.00,2.98,0.75,43.92,15.60,0.863
598,"Pintado,assado",191.56,36.45,0.00,3.98,0.00,0.00,80.953
599,"Pintado,cru",91.08,18.56,0.00,1.31,0.00,0.00,43.337
600,"Pintado,grelhado",152.19,30.80,0.00,2.29,0.00,0.00,53.089
601,PipocaGranfino,0.00,0.00,12.00,0.00,68.00,8.00,0.000
602,"Pipoca,comóleodesoja,semsal",448.33,0.00,9.93,15.94,70.31,14.34,4.320
603,Pirão,0.00,0.00,4.07,4.49,13.42,1.00,0.000
604,"Pitanga,crua",41.42,0.00,0.93,0.17,10.24,3.24,1.704
605,"Pitanga,polpa,congelada",19.11,0.00,0.29,0.12,4.76,0.74,5.029
606,Pizzamercado,0.00,11.21,0.00,15.20,28.51,2.20,0.000
607,"Polenta,pré-cozida",102.74,0.00,2.29,0.30,23.31,2.40,441.889
